Car_id,customer_id,Dealer_No ,Date,Price ($)
C_CND_000168,168,06457-3834,1/13/2022,11650
C_CND_000169,169,60504-7114,1/13/2022,26000
C_CND_000170,170,60504-7114,1/13/2022,36000
C_CND_000171,171,38701-8047,1/13/2022,82000
C_CND_000172,172,99301-3882,1/13/2022,24000
C_CND_000173,173,06457-3834,1/13/2022,11800
C_CND_000174,174,99301-3882,1/13/2022,27500
C_CND_000175,175,53546-9427,1/13/2022,36000
C_CND_000176,176,85257-3102,1/13/2022,20000
C_CND_000177,177,78758-7841,1/13/2022,17000
C_CND_000178,178,99301-3882,1/13/2022,16900
C_CND_000179,179,53546-9427,1/13/2022,46500
C_CND_000180,180,85257-3102,1/13/2022,14000
C_CND_000181,181,78758-7841,1/13/2022,16000
C_CND_000182,182,78758-7841,1/13/2022,22000
C_CND_000183,183,78758-7841,1/13/2022,20000
C_CND_000184,184,53546-9427,1/13/2022,14200
C_CND_000185,185,85257-3102,1/13/2022,51000
C_CND_000186,186,38701-8047,1/17/2022,19000
C_CND_000187,187,99301-3882,1/17/2022,31000
C_CND_000188,188,53546-9427,1/17/2022,32000
C_CND_000189,189,85257-3102,1/17/2022,31000
C_CND_000190,190,85257-3102,1/17/2022,14000
C_CND_000191,191,78758-7841,1/17/2022,25000
C_CND_000192,192,53546-9427,1/17/2022,46000
C_CND_000193,193,85257-3102,1/17/2022,39500
C_CND_000194,194,06457-3834,1/17/2022,39000
C_CND_000195,195,60504-7114,1/17/2022,31000
C_CND_000196,196,38701-8047,1/17/2022,41000
C_CND_000197,197,99301-3882,1/17/2022,22000
C_CND_000198,198,06457-3834,1/17/2022,22000
C_CND_000199,199,60504-7114,1/17/2022,41000
C_CND_000200,200,38701-8047,1/17/2022,21000
C_CND_000201,201,99301-3882,1/17/2022,26000
C_CND_000202,202,78758-7841,1/17/2022,31000
C_CND_000203,203,06457-3834,1/17/2022,19000
C_CND_000204,204,60504-7114,1/17/2022,13000
C_CND_000205,205,06457-3834,1/17/2022,33000
C_CND_000206,206,78758-7841,1/19/2022,61000
C_CND_000207,207,06457-3834,1/19/2022,21000
C_CND_000208,208,78758-7841,1/19/2022,16000
C_CND_000209,209,06457-3834,1/19/2022,15000
C_CND_000210,210,53546-9427,1/19/2022,27000
C_CND_000211,211,85257-3102,1/19/2022,13500
C_CND_000212,212,53546-9427,1/19/2022,9250
C_CND_000213,213,85257-3102,1/19/2022,31000
C_CND_000214,214,99301-3882,1/19/2022,32000
C_CND_000215,215,53546-9427,1/19/2022,29500
C_CND_000216,216,60504-7114,1/21/2022,14000
C_CND_000217,217,38701-8047,1/21/2022,18501
C_CND_000218,218,99301-3882,1/21/2022,17001
C_CND_000219,219,53546-9427,1/21/2022,12500
C_CND_000220,220,85257-3102,1/21/2022,21000
C_CND_000221,221,60504-7114,1/21/2022,62000
C_CND_000222,222,38701-8047,1/21/2022,11000
C_CND_000223,223,99301-3882,1/21/2022,20000
C_CND_000224,224,53546-9427,1/21/2022,21200
C_CND_000225,225,85257-3102,1/21/2022,29000
C_CND_000226,226,78758-7841,1/21/2022,17000
C_CND_000227,227,06457-3834,1/21/2022,27000
C_CND_000228,228,60504-7114,1/21/2022,36000
C_CND_000229,229,38701-8047,1/21/2022,19000
C_CND_000230,230,99301-3882,1/21/2022,18000
C_CND_000231,231,53546-9427,1/21/2022,15000
C_CND_000232,232,06457-3834,1/21/2022,24000
C_CND_000233,233,85257-3102,1/21/2022,16000
C_CND_000234,234,78758-7841,1/21/2022,29000
C_CND_000235,235,06457-3834,1/21/2022,19000
C_CND_000236,236,85257-3102,1/21/2022,22000
C_CND_000237,237,78758-7841,1/21/2022,23500
C_CND_000238,238,06457-3834,1/21/2022,36000
C_CND_000239,239,60504-7114,1/21/2022,19000
C_CND_000240,240,99301-3882,1/21/2022,53000
C_CND_000241,241,78758-7841,1/23/2022,28000
C_CND_000242,242,06457-3834,1/23/2022,60750
C_CND_000243,243,53546-9427,1/23/2022,42000
C_CND_000244,244,06457-3834,1/23/2022,31000
C_CND_000245,245,53546-9427,1/23/2022,62000
C_CND_000246,246,85257-3102,1/23/2022,39500
C_CND_000247,247,60504-7114,1/23/2022,24001
C_CND_000248,248,38701-8047,1/23/2022,15000
C_CND_000249,249,99301-3882,1/23/2022,19000
C_CND_000250,250,78758-7841,1/23/2022,35000
C_CND_000251,251,60504-7114,1/24/2022,21000
C_CND_000252,252,60504-7114,1/24/2022,20000
C_CND_000253,253,78758-7841,1/24/2022,18500
C_CND_000254,254,99301-3882,1/24/2022,45000
C_CND_000255,255,85257-3102,1/24/2022,12000
C_CND_000256,256,38701-8047,1/26/2022,21500
C_CND_000257,257,38701-8047,1/26/2022,17000
C_CND_000258,258,06457-3834,1/26/2022,46000
C_CND_000259,259,53546-9427,1/26/2022,41100
C_CND_000260,260,78758-7841,1/26/2022,22500
C_CND_000261,261,99301-3882,1/27/2022,9000
C_CND_000262,262,53546-9427,1/27/2022,20200
C_CND_000263,263,85257-3102,1/27/2022,59000
C_CND_000264,264,78758-7841,1/27/2022,22000
C_CND_000265,265,99301-3882,1/27/2022,57000
C_CND_000266,266,53546-9427,1/27/2022,25500
C_CND_000267,267,85257-3102,1/27/2022,18000
C_CND_000268,268,78758-7841,1/27/2022,27000
C_CND_000269,269,60504-7114,1/27/2022,22000
C_CND_000270,270,38701-8047,1/27/2022,82000
C_CND_000271,271,99301-3882,1/27/2022,15000
C_CND_000272,272,53546-9427,1/27/2022,31000
C_CND_000273,273,85257-3102,1/27/2022,13000
C_CND_000274,274,78758-7841,1/27/2022,17000
C_CND_000275,275,06457-3834,1/27/2022,46000
C_CND_000276,276,60504-7114,1/27/2022,19100
C_CND_000277,277,06457-3834,1/27/2022,10000
C_CND_000278,278,60504-7114,1/27/2022,42000
C_CND_000279,279,38701-8047,1/27/2022,18000
C_CND_000280,280,99301-3882,1/27/2022,25000
C_CND_000281,281,53546-9427,1/28/2022,22000
C_CND_000282,282,06457-3834,1/28/2022,25000
C_CND_000283,283,85257-3102,1/28/2022,23000
C_CND_000284,284,38701-8047,1/28/2022,33000
C_CND_000285,285,53546-9427,1/28/2022,25000
C_CND_000286,286,85257-3102,1/30/2022,43000
C_CND_000287,287,78758-7841,1/30/2022,21001
C_CND_000288,288,06457-3834,1/30/2022,11501
C_CND_000289,289,60504-7114,1/30/2022,32000
C_CND_000290,290,38701-8047,1/30/2022,20000
C_CND_000291,291,99301-3882,1/30/2022,9000
C_CND_000292,292,78758-7841,1/30/2022,29000
C_CND_000293,293,06457-3834,1/30/2022,17000
C_CND_000294,294,60504-7114,1/30/2022,27000
C_CND_000295,295,99301-3882,1/30/2022,54000
C_CND_000296,296,53546-9427,1/30/2022,33000
C_CND_000297,297,60504-7114,1/30/2022,27500
C_CND_000298,298,85257-3102,1/30/2022,14000
C_CND_000299,299,78758-7841,1/30/2022,41000
C_CND_000300,300,06457-3834,1/30/2022,22000
C_CND_000301,301,60504-7114,1/31/2022,24000
C_CND_000302,302,38701-8047,1/31/2022,24250
C_CND_000303,303,99301-3882,1/31/2022,37000
C_CND_000304,304,53546-9427,1/31/2022,54500
C_CND_000305,305,85257-3102,1/31/2022,46000
C_CND_000306,306,78758-7841,1/31/2022,37000
C_CND_000307,307,38701-8047,1/31/2022,26000
C_CND_000308,308,99301-3882,1/31/2022,21000
C_CND_000309,309,53546-9427,1/31/2022,41000
C_CND_000310,310,78758-7841,1/31/2022,12000
C_CND_000311,311,06457-3834,1/31/2022,25100
C_CND_000312,312,60504-7114,1/31/2022,34000
C_CND_000313,313,60504-7114,1/31/2022,34000
C_CND_000314,314,85257-3102,1/31/2022,39000
C_CND_000315,315,99301-3882,1/31/2022,33000
C_CND_000316,316,53546-9427,2/3/2022,33000
C_CND_000317,317,85257-3102,2/3/2022,18000
C_CND_000318,318,78758-7841,2/3/2022,21000
C_CND_000319,319,06457-3834,2/3/2022,39000
C_CND_000320,320,60504-7114,2/3/2022,25000
C_CND_000321,321,38701-8047,2/3/2022,46000
C_CND_000322,322,06457-3834,2/3/2022,13500
C_CND_000323,323,60504-7114,2/3/2022,21000
C_CND_000324,324,38701-8047,2/3/2022,13000
C_CND_000325,325,99301-3882,2/3/2022,43000
C_CND_000326,326,53546-9427,2/3/2022,22000
C_CND_000327,327,85257-3102,2/3/2022,26000
C_CND_000328,328,85257-3102,2/3/2022,12000
C_CND_000329,329,78758-7841,2/3/2022,22000
C_CND_000330,330,53546-9427,2/3/2022,21900
C_CND_000331,331,85257-3102,2/3/2022,45000
C_CND_000332,332,78758-7841,2/3/2022,71000
C_CND_000333,333,06457-3834,2/3/2022,13000
C_CND_000334,334,38701-8047,2/3/2022,14000
C_CND_000335,335,99301-3882,2/3/2022,13000
C_CND_000336,336,53546-9427,2/3/2022,28000
C_CND_000337,337,85257-3102,2/3/2022,14000
C_CND_000338,338,78758-7841,2/3/2022,31000
C_CND_000339,339,06457-3834,2/3/2022,29200
C_CND_000340,340,53546-9427,2/3/2022,42000
C_CND_000341,341,60504-7114,2/3/2022,18000
C_CND_000342,342,78758-7841,2/3/2022,13000
C_CND_000343,343,06457-3834,2/3/2022,85000
C_CND_000344,344,60504-7114,2/3/2022,43000
C_CND_000345,345,38701-8047,2/3/2022,43500
C_CND_000346,346,99301-3882,2/6/2022,36000
C_CND_000347,347,53546-9427,2/6/2022,16000
C_CND_000348,348,85257-3102,2/6/2022,31000
C_CND_000349,349,78758-7841,2/6/2022,16000
C_CND_000350,350,06457-3834,2/6/2022,14000
C_CND_000351,351,60504-7114,2/6/2022,24000
C_CND_000352,352,38701-8047,2/6/2022,39000
C_CND_000353,353,99301-3882,2/6/2022,14500
C_CND_000354,354,53546-9427,2/6/2022,20000
C_CND_000355,355,85257-3102,2/6/2022,16500
C_CND_000356,356,06457-3834,2/6/2022,31000
C_CND_000357,357,60504-7114,2/6/2022,21000
C_CND_000358,358,38701-8047,2/6/2022,21000
C_CND_000359,359,99301-3882,2/6/2022,85600
C_CND_000360,360,53546-9427,2/6/2022,23000
C_CND_000361,361,85257-3102,2/6/2022,21000
C_CND_000362,362,78758-7841,2/6/2022,24000
C_CND_000363,363,53546-9427,2/6/2022,22000
C_CND_000364,364,60504-7114,2/6/2022,25000
C_CND_000365,365,38701-8047,2/6/2022,22500
C_CND_000366,366,99301-3882,2/6/2022,19000
C_CND_000367,367,53546-9427,2/6/2022,27000
C_CND_000368,368,85257-3102,2/6/2022,18000
C_CND_000369,369,78758-7841,2/6/2022,75000
C_CND_000370,370,06457-3834,2/6/2022,71500
C_CND_000371,371,60504-7114,2/6/2022,61500
C_CND_000372,372,38701-8047,2/6/2022,21500
C_CND_000373,373,60504-7114,2/6/2022,25000
C_CND_000374,374,38701-8047,2/6/2022,29000
C_CND_000375,375,99301-3882,2/6/2022,12000
C_CND_000376,376,38701-8047,2/6/2022,23000
C_CND_000377,377,85257-3102,2/6/2022,19000
C_CND_000378,378,78758-7841,2/6/2022,19500
C_CND_000379,379,06457-3834,2/6/2022,21000
C_CND_000380,380,60504-7114,2/6/2022,20000
C_CND_000381,381,85257-3102,2/6/2022,29001
C_CND_000382,382,99301-3882,2/6/2022,25500
C_CND_000383,383,38701-8047,2/6/2022,19000
C_CND_000384,384,85257-3102,2/6/2022,24000
C_CND_000385,385,85257-3102,2/6/2022,20000
C_CND_000386,386,53546-9427,2/6/2022,19000
C_CND_000387,387,85257-3102,2/6/2022,37000
C_CND_000388,388,78758-7841,2/6/2022,17000
C_CND_000389,389,06457-3834,2/6/2022,29500
C_CND_000390,390,60504-7114,2/6/2022,46000
C_CND_000391,391,85257-3102,2/7/2022,45000
C_CND_000392,392,78758-7841,2/7/2022,25000
C_CND_000393,393,53546-9427,2/7/2022,25000
C_CND_000394,394,78758-7841,2/7/2022,14000
C_CND_000395,395,99301-3882,2/7/2022,19000
C_CND_000396,396,53546-9427,2/7/2022,12000
C_CND_000397,397,99301-3882,2/7/2022,17000
C_CND_000398,398,53546-9427,2/7/2022,26000
C_CND_000399,399,38701-8047,2/7/2022,27000
C_CND_000400,400,99301-3882,2/7/2022,19000
C_CND_000401,401,06457-3834,2/8/2022,29000
C_CND_000402,402,60504-7114,2/8/2022,14000
C_CND_000403,403,38701-8047,2/8/2022,60000
C_CND_000404,404,99301-3882,2/8/2022,14000
C_CND_000405,405,06457-3834,2/8/2022,22500
C_CND_000406,406,60504-7114,2/8/2022,22000
C_CND_000407,407,38701-8047,2/8/2022,24000
C_CND_000408,408,99301-3882,2/8/2022,43500
C_CND_000409,409,85257-3102,2/8/2022,29000
C_CND_000410,410,78758-7841,2/8/2022,42000
C_CND_000411,411,06457-3834,2/8/2022,19000
C_CND_000412,412,60504-7114,2/8/2022,14000
C_CND_000413,413,85257-3102,2/8/2022,18000
C_CND_000414,414,78758-7841,2/8/2022,9000
C_CND_000415,415,53546-9427,2/8/2022,26000
C_CND_000416,416,85257-3102,2/8/2022,13000
C_CND_000417,417,53546-9427,2/8/2022,24000
C_CND_000418,418,85257-3102,2/8/2022,46000
C_CND_000419,419,78758-7841,2/8/2022,39000
C_CND_000420,420,06457-3834,2/8/2022,24000
C_CND_000421,421,53546-9427,2/9/2022,19000
C_CND_000422,422,85257-3102,2/9/2022,28001
C_CND_000423,423,78758-7841,2/9/2022,60001
C_CND_000424,424,06457-3834,2/9/2022,22001
C_CND_000425,425,60504-7114,2/9/2022,22001
C_CND_000426,426,53546-9427,2/9/2022,22000
C_CND_000427,427,85257-3102,2/9/2022,21500
C_CND_000428,428,78758-7841,2/9/2022,25000
C_CND_000429,429,06457-3834,2/9/2022,85000
C_CND_000430,430,60504-7114,2/9/2022,21000
C_CND_000431,431,38701-8047,2/9/2022,24000
C_CND_000432,432,99301-3882,2/9/2022,44000
C_CND_000433,433,53546-9427,2/9/2022,31500
C_CND_000434,434,85257-3102,2/9/2022,46000
C_CND_000435,435,78758-7841,2/9/2022,22100
C_CND_000436,436,78758-7841,2/9/2022,21000
C_CND_000437,437,06457-3834,2/9/2022,14000
C_CND_000438,438,60504-7114,2/9/2022,18000
C_CND_000439,439,38701-8047,2/9/2022,16000
C_CND_000440,440,99301-3882,2/9/2022,18000
C_CND_000441,441,60504-7114,2/9/2022,36000
C_CND_000442,442,38701-8047,2/9/2022,10000
C_CND_000443,443,06457-3834,2/9/2022,45000
C_CND_000444,444,53546-9427,2/9/2022,45000
C_CND_000445,445,85257-3102,2/9/2022,21100
C_CND_000446,446,38701-8047,2/10/2022,28001
C_CND_000447,447,38701-8047,2/10/2022,25000
C_CND_000448,448,06457-3834,2/10/2022,26000
C_CND_000449,449,53546-9427,2/10/2022,15000
C_CND_000450,450,38701-8047,2/10/2022,21000
C_CND_000451,451,99301-3882,2/14/2022,31001
C_CND_000452,452,53546-9427,2/14/2022,21001
C_CND_000453,453,85257-3102,2/14/2022,22001
C_CND_000454,454,78758-7841,2/14/2022,38000
C_CND_000455,455,53546-9427,2/14/2022,26000
C_CND_000456,456,85257-3102,2/14/2022,29000
C_CND_000457,457,78758-7841,2/14/2022,31000
C_CND_000458,458,99301-3882,2/14/2022,21000
C_CND_000459,459,53546-9427,2/14/2022,62000
C_CND_000460,460,85257-3102,2/14/2022,36600
C_CND_000461,461,78758-7841,2/14/2022,20000
C_CND_000462,462,06457-3834,2/14/2022,53000
C_CND_000463,463,06457-3834,2/14/2022,27500
C_CND_000464,464,38701-8047,2/14/2022,31000
C_CND_000465,465,60504-7114,2/14/2022,27000
C_CND_000466,466,38701-8047,2/14/2022,44000
C_CND_000467,467,99301-3882,2/14/2022,19000
C_CND_000468,468,53546-9427,2/14/2022,53500
C_CND_000469,469,85257-3102,2/14/2022,45000
C_CND_000470,470,78758-7841,2/14/2022,20000
C_CND_000471,471,06457-3834,2/14/2022,19000
C_CND_000472,472,85257-3102,2/14/2022,25000
C_CND_000473,473,78758-7841,2/14/2022,16000
C_CND_000474,474,60504-7114,2/14/2022,42000
C_CND_000475,475,60504-7114,2/14/2022,33000
C_CND_000476,476,38701-8047,2/14/2022,26000
C_CND_000477,477,99301-3882,2/14/2022,19000
C_CND_000478,478,53546-9427,2/14/2022,31000
C_CND_000479,479,06457-3834,2/14/2022,49300
C_CND_000480,480,78758-7841,2/14/2022,17500
C_CND_000481,481,38701-8047,2/14/2022,25000
C_CND_000482,482,99301-3882,2/14/2022,45000
C_CND_000483,483,53546-9427,2/14/2022,25000
C_CND_000484,484,85257-3102,2/14/2022,17000
C_CND_000485,485,78758-7841,2/14/2022,21500
C_CND_000486,486,06457-3834,2/15/2022,26001
C_CND_000487,487,60504-7114,2/15/2022,22001
C_CND_000488,488,38701-8047,2/15/2022,23501
C_CND_000489,489,99301-3882,2/15/2022,61000
C_CND_000490,490,53546-9427,2/15/2022,13500
C_CND_000491,491,85257-3102,2/15/2022,24000
C_CND_000492,492,78758-7841,2/15/2022,24000
C_CND_000493,493,06457-3834,2/15/2022,21200
C_CND_000494,494,99301-3882,2/15/2022,21000
C_CND_000495,495,06457-3834,2/15/2022,33000
C_CND_000496,496,85257-3102,2/15/2022,21000
C_CND_000497,497,78758-7841,2/15/2022,9200
C_CND_000498,498,06457-3834,2/15/2022,16000
C_CND_000499,499,60504-7114,2/15/2022,29000
C_CND_000500,500,38701-8047,2/15/2022,36000
C_CND_000501,501,99301-3882,2/15/2022,62000
C_CND_000502,502,60504-7114,2/15/2022,14000
C_CND_000503,503,38701-8047,2/15/2022,12000
C_CND_000504,504,99301-3882,2/15/2022,26500
C_CND_000505,505,53546-9427,2/15/2022,22650
C_CND_000506,506,85257-3102,2/15/2022,57500
C_CND_000507,507,78758-7841,2/15/2022,15500
C_CND_000508,508,53546-9427,2/15/2022,39600
C_CND_000509,509,85257-3102,2/15/2022,25000
C_CND_000510,510,85257-3102,2/15/2022,14000
C_CND_000511,511,78758-7841,2/15/2022,24000
C_CND_000512,512,06457-3834,2/15/2022,12000
C_CND_000513,513,60504-7114,2/15/2022,14000
C_CND_000514,514,38701-8047,2/15/2022,42000
C_CND_000515,515,53546-9427,2/15/2022,12500
C_CND_000516,516,53546-9427,2/15/2022,61000
C_CND_000517,517,85257-3102,2/15/2022,46000
C_CND_000518,518,06457-3834,2/15/2022,28100
C_CND_000519,519,99301-3882,2/15/2022,22000
C_CND_000520,520,38701-8047,2/15/2022,49000
C_CND_000521,521,99301-3882,2/15/2022,14000
C_CND_000522,522,53546-9427,2/15/2022,21000
C_CND_000523,523,85257-3102,2/15/2022,9500
C_CND_000524,524,78758-7841,2/15/2022,20000
C_CND_000525,525,06457-3834,2/15/2022,39000
C_CND_000526,526,60504-7114,2/16/2022,22000
C_CND_000527,527,38701-8047,2/16/2022,31000
C_CND_000528,528,99301-3882,2/16/2022,29000
C_CND_000529,529,53546-9427,2/16/2022,15000
C_CND_000530,530,85257-3102,2/16/2022,20000
C_CND_000531,531,78758-7841,2/16/2022,19000
C_CND_000532,532,78758-7841,2/16/2022,22000
C_CND_000533,533,06457-3834,2/16/2022,12000
C_CND_000534,534,60504-7114,2/16/2022,14000
C_CND_000535,535,78758-7841,2/16/2022,25000
C_CND_000536,536,06457-3834,2/16/2022,17000
